fuel,region,estimation_t,UF,Year,consumption_t,m3,kinitial,estimation_consumption,kfinal
D,AC,185937.93,AC,2000,183994.65504,219041.256,1,1.01056158375675,0.989548797493873
D,AL,1579129.17,AL,2000,242188.1196,288319.19,1,6.52025860148757,0.153368150117827
D,AM,905125.48,AM,2000,408200.33016,485952.774,1,2.21735607035208,0.450987558277555
D,AP,51706.11,AP,2000,114311.45628,136085.067,1,0.452326579353066,2.21079203753676
D,BA,5151789.55,BA,2000,1589854.07028,1892683.417,1,3.24041661829547,0.308602293406958
D,CE,3805699.28,CE,2000,455361.52788,542097.057,1,8.35753362326846,0.1196525249047
D,DF,2024417.57,DF,2000,286229.55312,340749.468,1,7.07270632236663,0.141388593619053
D,ES,2975808.72,ES,2000,577951.57308,688037.587,1,5.14888938556118,0.194216640738925
D,GO,6364899.74,GO,2000,1119844.06632,1333147.698,1,5.68373752331086,0.175940566554784
D,MA,1701056.97,MA,2000,527871.72564,628418.721,1,3.2224816889702,0.310319839340831
D,MG,18693643.7,MG,2000,3678969.105,4379725.125,1,5.08121790818899,0.196803210975932
D,MS,3027348.46,MS,2000,789798.32064,940236.096,1,3.83306520270496,0.26088781356871
D,MT,2788626.89,MT,2000,1340128.72728,1595391.342,1,2.08086494471315,0.480569391368094
D,PA,2701755.54,PA,2000,898369.14132,1069487.073,1,3.00740020525441,0.332513111574854
D,PB,1635751.93,PB,2000,217563.55824,259004.236,1,7.5185014587579,0.133005227901519
D,PE,4118140.55,PE,2000,666459.74304,793404.456,1,6.17912873659172,0.161835113432445
D,PI,758754.34,PI,2000,208499.02836,248213.129,1,3.63912650321763,0.274791216825198
D,PR,14197315.43,PR,2000,2546694.2802,3031778.905,1,5.57480163221046,0.179378579898186
D,RJ,11037417.7,RJ,2000,1687902.54192,2009407.788,1,6.53913210382684,0.152925492882271
D,RN,763947.51,RN,2000,271960.56804,323762.581,1,2.80903777891668,0.355993788159608
D,RO,538099.29,RO,2000,552632.38464,657895.696,1,0.973702057563153,1.02700820259399
D,RR,77186.87,RR,2000,104574.86088,124493.882,1,0.738101579581083,1.35482706942256
D,RS,13781629.78,RS,2000,2163362.54736,2575431.604,1,6.37046702912465,0.156974362386333
D,SC,9413448.43,SC,2000,1288040.16348,1533381.147,1,7.308350078593,0.136829789110557
D,SE,1014673.37,SE,2000,181568.13528,216152.542,1,5.58838900027943,0.178942446553022
D,SP,38532644.92,SP,2000,7132673.0328,8491277.42,1,5.40227271638633,0.185107278454635
D,TO,441307.18,TO,2000,292058.67096,347688.894,1,1.5110223522877,0.661803578541369
E,AC,7664.1,AC,2000,5787.831127,7154.303,1,1.32417477839795,0.755187318406597
E,AL,53762.55,AL,2000,21190.196866,26193.074,1,2.53714254473317,0.394144192676873
E,AM,42780.44,AM,2000,13546.977633,16745.337,1,3.15793243031481,0.316662886894104
E,AP,2708.38,AP,2000,1231.1362,1521.8,1,2.19990282147499,0.454565533640036
E,BA,202644.45,BA,2000,82130.073174,101520.486,1,2.4673599105492,0.405291500329765
E,CE,153006.73,CE,2000,57950.139953,71631.817,1,2.64031683312749,0.378742424944315
E,DF,191277.01,DF,2000,118881.609942,146948.838,1,1.60897055560839,0.621515413389199
E,ES,101129.44,ES,2000,52526.81672,64928.08,1,1.92529161892832,0.519401835113494
E,GO,239182.08,GO,2000,154057.003561,190428.929,1,1.55255570646805,0.644099271822538
E,MA,48413.29,MA,2000,13554.755359,16754.951,1,3.57168305275645,0.279980050085421
E,MG,798141.99,MG,2000,445832.970106,551091.434,1,1.79022648282435,0.558588541502497
E,MS,100867.02,MS,2000,55901.361206,69099.334,1,1.80437502457764,0.554208513407058
E,MT,73348.47,MT,2000,49486.746812,61170.268,1,1.48218411443877,0.674680014620619
E,PA,77785.08,PA,2000,24302.365663,30040.007,1,3.20072050098508,0.312429654414446
E,PB,62616.1,PB,2000,30642.68716,37877.24,1,2.04342718616849,0.489373933541054
E,PE,170826.02,PE,2000,80662.111123,99705.947,1,2.11779753370837,0.472188669635926
E,PI,27951.45,PI,2000,20843.349442,25764.338,1,1.34102487115996,0.745698324845402
E,PR,557830.23,PR,2000,360178.35252,445214.28,1,1.54876112375195,0.645677364096958
E,RJ,727369.3,RJ,2000,187841.254533,232189.437,1,3.87225533500797,0.258247432951872
E,RN,33161.25,RN,2000,30401.957075,37579.675,1,1.09076037171531,0.916791649138679
E,RO,13838.69,RO,2000,19109.239335,23620.815,1,0.724188428298839,1.3808560878956
E,RR,3425.03,RR,2000,1317.246969,1628.241,1,2.60014263126386,0.384594286473403
E,RS,620134.77,RS,2000,162603.918671,200993.719,1,3.81377506193274,0.2622073886794
E,SC,376617.39,SC,2000,144146.904844,178179.116,1,2.61273310313244,0.382740969141122
E,SE,36837.05,SE,2000,23207.934283,28687.187,1,1.58726104403801,0.630016092032343
E,SP,2442492.22,SP,2000,1554442.558888,1921437.032,1,1.57129783023136,0.636416585551294
E,TO,12309.85,TO,2000,12525.103845,15482.205,1,0.982814206759178,1.01748630933764
G,AC,71820,AC,2000,30171.39762525,40001.853,1,2.38040016879745,0.420097432821637
G,AL,429815.88,AL,2000,124110.56206325,164548.309,1,3.46316923277613,0.288752854043573
G,AM,298909.5,AM,2000,183088.418996,242742.352,1,1.63259643422084,0.612521244711192
G,AP,16600.07,AP,2000,34888.449218,46255.816,1,0.475804180812815,2.10170494570204
G,BA,1456759.16,BA,2000,699200.2748045,927013.954,1,2.08346479899099,0.479969712223742
G,CE,1351622.17,CE,2000,355725.274184,471627.808,1,3.79962366492089,0.263183959304248
G,DF,1260716.51,DF,2000,447564.16538575,593389.679,1,2.81683970143902,0.355007776796506
G,ES,763898.78,ES,2000,375117.46783525,497338.373,1,2.03642550801047,0.491056508606088
G,GO,1958191.06,GO,2000,549142.17017625,728063.865,1,3.5659090966762,0.280433396614654
G,MA,446327.48,MA,2000,159216.66671225,211092.697,1,2.8032710972818,0.356726112208574
G,MG,5886574.86,MG,2000,1753121.15751325,2324323.709,1,3.35776842049521,0.297816845824203
G,MS,804567.37,MS,2000,217365.86311125,288188.085,1,3.70144308072981,0.270164900064553
G,MT,621351.21,MT,2000,215474.031388,285679.856,1,2.88364776951309,0.346782991519402
G,PA,641921.1,PA,2000,271209.7439415,359575.398,1,2.36688066833787,0.422497007718706
G,PB,496459.67,PB,2000,166267.319533,220440.596,1,2.98591251362217,0.334905994545337
G,PE,1238482.66,PE,2000,459434.42064625,609127.505,1,2.6956679873004,0.370965565756286
G,PI,225961.18,PI,2000,90302.0487495,119724.294,1,2.50228187653662,0.399635232695722
G,PR,3885379.71,PR,2000,1194231.9337585,1583337.002,1,3.25345487770695,0.307365566017871
G,RJ,4834952.36,RJ,2000,1393663.20567425,1847747.041,1,3.46924015810611,0.288247556936476
G,RN,246576.46,RN,2000,167755.9510795,222414.254,1,1.46985223721301,0.680340495923658
G,RO,140465.35,RO,2000,102633.25107525,136073.253,1,1.36861444540047,0.730665969046815
G,RR,27355.32,RR,2000,32688.38719825,43338.929,1,0.836851320748688,1.19495539435291
G,RS,4314847.24,RS,2000,1442870.63104975,1912987.247,1,2.99046023056188,0.334396689104977
G,SC,2844494.96,SC,2000,820959.47003525,1088444.773,1,3.46484213146097,0.288613438089991
G,SE,279784.09,SE,2000,112498.3319565,149152.578,1,2.48700656386785,0.402089811313074
G,SP,15883444.26,SP,2000,5602931.6569765,7428480.818,1,2.83484526180552,0.352752939807055
G,TO,109354.01,TO,2000,67190.37530975,89082.367,1,1.62752491701191,0.614429917199653
