fuel,region,estimation_t,consumption_t,Year,type,kinitial,estimation_consumption,kfinal
D,AC,186455.28,186455.882654912,2100,projection,1,0.999996767841788,1.00000323216866
D,AC,186455.28,186455.847048662,2099,projection,1,0.999996958804611,1.00000304120464
D,AC,186455.28,186455.805680119,2098,projection,1,0.999997180671758,1.00000281933619
D,AC,186455.28,186455.757616752,2097,projection,1,0.999997438444606,1.00000256156196
D,AC,186455.28,186455.701775117,2096,projection,1,0.999997737933928,1.00000226207119
D,AC,186455.28,186455.636896435,2095,projection,1,0.999998085890878,1.00000191411279
D,AC,186455.28,186455.561518219,2094,projection,1,0.999998490159177,1.0000015098431
D,AC,186455.28,186455.473941301,2093,projection,1,0.99999895985193,1.00000104014915
D,AC,186455.28,186455.372191544,2092,projection,1,0.999999505557054,1.00000049444319
D,AC,186455.28,186455.25397533,2091,projection,1,1.00000013957595,0.999999860424066
D,AC,186455.28,186455.116627874,2090,projection,1,1.00000087620082,0.999999123799946
D,AC,186455.28,186454.95705315,2089,projection,1,1.00000173203682,0.999998267966182
D,AC,186455.28,186454.771654114,2088,projection,1,1.00000272637638,0.999997273631049
D,AC,186455.28,186454.556251629,2087,projection,1,1.00000388163414,0.999996118380926
D,AC,186455.28,186454.305990271,2086,projection,1,1.00000522385216,0.999994776175127
D,AC,186455.28,186454.015228899,2085,projection,1,1.00000678328702,0.999993216758993
D,AC,186455.28,186453.677413519,2084,projection,1,1.00000859509184,0.999991404982037
D,AC,186455.28,186453.284929581,2083,projection,1,1.00001070010872,0.999989300005775
D,AC,186455.28,186452.828930377,2082,projection,1,1.00001314578941,0.999986854383403
D,AC,186455.28,186452.299137688,2081,projection,1,1.00001598726498,0.999984012990609
D,AC,186455.28,186451.683610181,2080,projection,1,1.0000192885886,0.999980711783443
D,AC,186455.28,186450.96847435,2079,projection,1,1.00002312417943,0.999976876355287
D,AC,186455.28,186450.137611943,2078,projection,1,1.00002758050019,0.999972420260469
D,AC,186455.28,186449.172296847,2077,projection,1,1.00003275800626,0.999967243066795
D,AC,186455.28,186448.050773267,2076,projection,1,1.00003877341009,0.999961228093227
D,AC,186455.28,186446.74776571,2075,projection,1,1.00004576231225,0.999954239781841
D,AC,186455.28,186445.233909785,2074,projection,1,1.0000538822581,0.999946120645042
D,AC,186455.28,186443.475091005,2073,projection,1,1.00006331628924,0.999936687719464
D,AC,186455.28,186441.431676793,2072,projection,1,1.00007427706966,0.999925728447018
D,AC,186455.28,186439.057624439,2071,projection,1,1.00008701167967,0.999912995890699
D,AC,186455.28,186436.299445048,2070,projection,1,1.00010180718566,0.999898203177985
D,AC,186455.28,186433.095000271,2069,projection,1,1.00011899711116,0.999881017047469
D,AC,186455.28,186429.372104935,2068,projection,1,1.00013896895523,0.999861050354458
D,AC,186455.28,186425.046904373,2067,projection,1,1.00016217292756,0.999837853368234
D,AC,186455.28,186420.021990284,2066,projection,1,1.00018913209718,0.999810903667004
D,AC,186455.28,186414.184213207,2065,projection,1,1.0002204541836,0.999779594405731
D,AC,186455.28,186407.402143046,2064,projection,1,1.00025684525616,0.999743220696382
D,AC,186455.28,186399.523121413,2063,projection,1,1.00029912565039,0.999700963799005
D,AC,186455.28,186390.369840706,2062,projection,1,1.0003482484602,0.999651872774566
D,AC,186455.28,186379.736374634,2061,projection,1,1.00040532102274,0.999594843195828
D,AC,186455.28,186367.383573209,2060,projection,1,1.00047162988022,0.999528592449668
D,AC,186455.28,186353.033721719,2059,projection,1,1.00054866978143,0.999451631092018
D,AC,186455.28,186336.364347814,2058,projection,1,1.00063817737672,0.999362229633903
D,AC,186455.28,186317.001043162,2057,projection,1,1.0007421703659,0.999258380042452
D,AC,186455.28,186294.50914607,2056,projection,1,1.00086299298174,0.999137751132977
D,AC,186455.28,186268.384108603,2055,projection,1,1.00100336883412,0.998997636905766
D,AC,186455.28,186238.040345943,2054,projection,1,1.00116646230627,0.998834896742762
D,AC,186455.28,186202.798336641,2053,projection,1,1.00135594988698,0.998645886223447
D,AC,186455.28,186161.86970995,2052,projection,1,1.00157610304681,0.998426377144965
D,AC,186455.28,186114.340020347,2051,projection,1,1.00183188452655,0.998171465138167
D,AC,186455.28,186059.148869738,2050,projection,1,1.00212906020837,0.99787546305869
D,AC,186455.28,185995.066994837,2049,projection,1,1.00247432909162,0.99753177810163
D,AC,186455.28,185920.669891309,2048,projection,1,1.00287547430312,0.997132770342083
D,AC,186455.28,185834.307498298,2047,projection,1,1.00334153854615,0.99666959014675
D,AC,186455.28,185734.069418479,2046,projection,1,1.00388302794301,0.996131991641528
D,AC,186455.28,185617.745101862,2045,projection,1,1.00451214886636,0.99550811916864
D,AC,186455.28,185482.778379721,2044,projection,1,1.00524308309793,0.994784263442264
D,AC,186455.28,185326.215702913,2043,projection,1,1.00609230751734,0.993944583939448
D,AC,186455.28,185144.647423276,2042,projection,1,1.00707896552757,0.992970793979531
D,AC,186455.28,184934.141466999,2041,projection,1,1.00822529858973,0.991841805000099
D,AC,186455.28,184690.168797474,2040,projection,1,1.00955714759491,0.990533326798113
D,AC,186455.28,184407.520168819,2039,projection,1,1.01110453537527,0.989017421061065
D,AC,186455.28,184080.213852037,2038,projection,1,1.01290234348528,0.987262006482397
D,AC,186455.28,183701.39430172,2037,projection,1,1.01499109850934,0.985230315289112
D,AC,186455.28,183263.222157924,2036,projection,1,1.01741788562096,0.982880303298056
D,AC,186455.28,182756.756589003,2035,projection,1,1.02023740998706,0.980164018895056
D,AC,186455.28,182171.831828924,2034,projection,1,1.0235132299438,0.977026940877854
D,AC,186455.28,181496.930906865,2033,projection,1,1.02731918974255,0.973407301240626
D,AC,186455.28,180719.061072603,2032,projection,1,1.03174108416318,0.969235417053372
D,AC,186455.28,179823.637352816,2031,projection,1,1.0368785925188,0.964433065949198
D,AC,186455.28,178794.38308493,2030,projection,1,1.04284752564867,0.95891295266581
D,AC,186455.28,177613.259193494,2029,projection,1,1.0497824365515,0.952578329739412
D,AC,186455.28,176260.437374944,2028,projection,1,1.05783965350868,0.9453228536888
D,AC,186455.28,174714.336129436,2027,projection,1,1.06720080407063,0.937030778261877
D,AC,186455.28,172951.742481261,2026,projection,1,1.07807690934483,0.927577607248562
D,AC,186455.28,170948.045835022,2025,projection,1,1.09071314087991,0.91683134870207
D,AC,186455.28,168677.613055051,2024,projection,1,1.10539434737642,0.904654526570936
D,AC,186455.28,166114.334577962,2023,projection,1,1.12245147580862,0.890907109618789
D,AC,186455.28,141648.024,2022,data,1,1.31632814023583,0.759688993521664
D,AC,186455.28,132623.1396,2021,data,1,1.40590307666039,0.711286586252746
D,AC,186455.28,135132.312,2020,data,1,1.37979789763384,0.724743820609424
D,AC,186455.28,130540.116,2019,data,1,1.4283370178712,0.7001148800935
D,AC,186455.28,127592.91384,2018,data,1,1.46132942957798,0.684308397380863
D,AC,186455.28,126946.724269068,2017,data,1,1.46876795028442,0.680842742930463
D,AC,186455.28,132595.75812,2016,data,1,1.4061934004801,0.71113973345244
D,AC,186455.28,134786.905706323,2015,data,1,1.38333378174177,0.722891331939345
D,AC,186455.28,140271.75876,2014,data,1,1.32924318942217,0.752307785330617
D,AC,186455.28,132185.44332,2013,data,1,1.41055834377028,0.708939126422164
D,AC,186455.28,180494.443210196,2012,data,1,1.03302504323007,0.968030742868723
D,AC,186455.28,132410.028113967,2011,data,1,1.4081658516039,0.710143623253612
D,AC,186455.28,127847.300447234,2010,data,1,1.45842172144225,0.685672727783488
D,AC,186455.28,106572.3307995,2009,data,1,1.7495655636057,0.571570463434983
D,AC,186455.28,107663.417370671,2008,data,1,1.73183505180835,0.577422196736242
D,AC,186455.28,103886.544722135,2007,data,1,1.79479720399511,0.557166011722139
D,AC,186455.28,110864.44488,2006,data,1,1.68183117862377,0.59458999970395
D,AC,186455.28,142032.0972,2005,data,1,1.31276861833172,0.761748861174647
D,AC,186455.28,133477.65144,2004,data,1,1.3969026124483,0.715869518095706
D,AC,186455.28,156488.93736,2003,data,1,1.19149176386228,0.83928402220629
D,AC,186455.28,194897.30148,2002,data,1,0.95668476979469,1.04527638734607
D,AC,186455.28,196269.58176,2001,data,1,0.949995808458995,1.05263622333462
D,AC,186455.28,183994.65504,2000,data,1,1.01337335021751,0.986803136065656
D,AC,186455.28,165595.189536,1999,data,1,1.12597038913057,0.88812282245909
D,AC,186455.28,149035.6705824,1998,data,1,1.25107821014508,0.799310540213181
D,AC,186455.28,134132.10352416,1997,data,1,1.39008690016119,0.719379486191864
D,AC,186455.28,120718.893171744,1996,data,1,1.54454100017911,0.647441537572677
D,AC,186455.28,108647.00385457,1995,data,1,1.71615666686567,0.582697383815409
D,AC,186455.28,97782.3034691126,1994,data,1,1.90684074096186,0.524427645433868
D,AC,186455.28,88004.0731222014,1993,data,1,2.11871193440206,0.471984880890482
D,AC,186455.28,79203.6658099813,1992,data,1,2.35412437155785,0.424786392801433
D,AC,186455.28,71283.2992289831,1991,data,1,2.61569374617539,0.38230775352129
D,AC,186455.28,64154.9693060848,1990,data,1,2.90632638463932,0.344076978169161
D,AC,186455.28,57739.4723754763,1989,data,1,3.22925153848813,0.309669280352245
D,AC,186455.28,51965.5251379287,1988,data,1,3.58805726498681,0.278702352317021
D,AC,186455.28,46768.9726241358,1987,data,1,3.98673029442979,0.250832117085318
D,AC,186455.28,42092.0753617223,1986,data,1,4.42970032714422,0.225748905376787
D,AC,186455.28,37882.86782555,1985,data,1,4.92188925238246,0.203174014839108
D,AC,186455.28,34094.581042995,1984,data,1,5.46876583598051,0.182856613355197
D,AC,186455.28,30685.1229386955,1983,data,1,6.07640648442279,0.164570952019677
D,AC,186455.28,27616.610644826,1982,data,1,6.75156276046977,0.14811385681771
D,AC,186455.28,24854.9495803434,1981,data,1,7.50173640052196,0.133302471135939
D,AC,186455.28,22369.454622309,1980,data,1,8.33526266724663,0.119972224022345
D,AC,186455.28,20132.5091600781,1979,data,1,9.26140296360736,0.10797500162011
D,AC,186455.28,18119.2582440703,1978,data,1,10.2904477373415,0.0971775014580994
D,AC,186455.28,16307.3324196633,1977,data,1,11.4338308192683,0.0874597513122894
D,AC,186455.28,14676.599177697,1976,data,1,12.7042564658537,0.0787137761810605
D,AC,186455.28,13208.9392599273,1975,data,1,14.1158405176152,0.0708423985629544
D,AC,186455.28,11888.0453339345,1974,data,1,15.6842672417947,0.063758158706659
D,AC,186455.28,10699.2408005411,1973,data,1,17.4269636019941,0.0573823428359931
D,AC,186455.28,9629.31672048698,1972,data,1,19.3632928911046,0.0516441085523938
D,AC,186455.28,8666.38504843828,1971,data,1,21.5147698790051,0.0464796976971544
D,AC,186455.28,7799.74654359445,1970,data,1,23.9052998655612,0.041831727927439
D,AC,186455.28,7019.77188923501,1969,data,1,26.561444295068,0.0376485551346951
D,AC,186455.28,6317.79470031151,1968,data,1,29.5127158834089,0.0338836996212256
D,AC,186455.28,5686.01523028036,1967,data,1,32.791906537121,0.030495329659103
D,AC,186455.28,5117.41370725232,1966,data,1,36.4354517079122,0.0274457966931927
D,AC,186455.28,4605.67233652709,1965,data,1,40.4838352310136,0.0247012170238734
D,AC,186455.28,4145.10510287438,1964,data,1,44.9820391455707,0.0222310953214861
D,AC,186455.28,3730.59459258694,1963,data,1,49.9800434950785,0.0200079857893375
D,AC,186455.28,3357.53513332825,1962,data,1,55.5333816611983,0.0180071872104037
D,AC,186455.28,3021.78161999542,1961,data,1,61.7037574013315,0.0162064684893634
D,AC,186455.28,2719.60345799588,1960,data,1,68.5597304459239,0.014585821640427
D,AL,335821.46,335823.83738341,2100,projection,1,0.99999292074253,1.00000707930759
D,AL,335821.46,335823.773253347,2099,projection,1,0.999993111704618,1.00000688834283
D,AL,335821.46,335823.698744874,2098,projection,1,0.999993333570911,1.00000666647353
D,AL,335821.46,335823.612178421,2097,projection,1,0.999993591342767,1.0000064086983
D,AL,335821.46,335823.511602608,2096,projection,1,0.999993890830937,1.00000610920638
D,AL,335821.46,335823.394750259,2095,projection,1,0.999994238786548,1.00000576124664
D,AL,335821.46,335823.258987302,2094,projection,1,0.999994643053292,1.0000053569754
D,AL,335821.46,335823.101253387,2093,projection,1,0.999995112744238,1.00000488727965
D,AL,335821.46,335822.917992909,2092,projection,1,0.999995658447263,1.00000434157159
D,AL,335821.46,335822.705074862,2091,projection,1,0.999996292463724,1.00000370755002
D,AL,335821.46,335822.457699722,2090,projection,1,0.999997029085758,1.00000297092307
D,AL,335821.46,335822.170291273,2089,projection,1,0.999997884918461,1.00000211508601
D,AL,335821.46,335821.836370912,2088,projection,1,0.999998879254202,1.00000112074705
D,AL,335821.46,335821.448411637,2087,projection,1,1.00000003450751,0.999999965492487
D,AL,335821.46,335820.997668391,2086,projection,1,1.00000137672037,0.999998623281524
D,AL,335821.46,335820.473980974,2085,projection,1,1.00000293614923,0.99999706385939
D,AL,335821.46,335819.865545051,2084,projection,1,1.00000474794708,0.999995252075465
D,AL,335821.46,335819.15864613,2083,projection,1,1.00000685295586,0.999993147091105
D,AL,335821.46,335818.337350494,2082,projection,1,1.00000929862714,0.999990701459324
D,AL,335821.46,335817.383146147,2081,projection,1,1.00001214009178,0.999987860055599
D,AL,335821.46,335816.274525671,2080,projection,1,1.0000154414027,0.999984558835732
D,AL,335821.46,335814.986501633,2079,projection,1,1.00001927697877,0.999980723392821
D,AL,335821.46,335813.490043609,2078,projection,1,1.0000237332824,0.99997626728086
D,AL,335821.46,335811.751424182,2077,projection,1,1.00002891076854,0.999971090067269
D,AL,335821.46,335809.731459205,2076,projection,1,1.00003492614923,0.99996507507056
D,AL,335821.46,335807.384625244,2075,projection,1,1.00004191502451,0.99995808673229
D,AL,335821.46,335804.658034381,2074,projection,1,1.00005003493912,0.999949967564254
D,AL,335821.46,335801.490243354,2073,projection,1,1.00005946893396,0.999940534602387
D,AL,335821.46,335797.809870322,2072,projection,1,1.00007042967221,0.999929575287779
D,AL,335821.46,335793.53398822,2071,projection,1,1.00008316423324,0.999916842682477
D,AL,335821.46,335788.566258728,2070,projection,1,1.00009795968231,0.999902049912854
D,AL,335821.46,335782.794765082,2069,projection,1,1.00011514954167,0.99988486371622
D,AL,335821.46,335776.089495288,2068,projection,1,1.00013512130891,0.999864896946395
D,AL,335821.46,335768.299419537,2067,projection,1,1.00015832519197,0.999841699870929
D,AL,335821.46,335759.249096706,2066,projection,1,1.00018528425788,0.99981475006602
D,AL,335821.46,335748.734734424,2065,projection,1,1.0002166062238,0.999783440684296
