array_x,g,veh,size,fuel,type_emi,pollutant,age,hour
array_x_1,8.35534429110969,PC_G,1400cc,G,Diurnal,NMHC,1,1
array_x_2,8.78764437666058,PC_G,1400cc,G,Diurnal,NMHC,2,1
array_x_3,12.5992868347449,PC_G,1400cc,G,Diurnal,NMHC,3,1
array_x_4,13.8147577910672,PC_G,1400cc,G,Diurnal,NMHC,4,1
array_x_5,14.5213649231064,PC_G,1400cc,G,Diurnal,NMHC,5,1
array_x_6,19.0400865734168,PC_G,1400cc,G,Diurnal,NMHC,6,1
array_x_7,37.6422161413834,PC_G,1400cc,G,Diurnal,NMHC,7,1
array_x_8,50.985072978029,PC_G,1400cc,G,Diurnal,NMHC,8,1
array_x_9,13.8849726360254,PC_G,1400cc,G,Diurnal,NMHC,9,1
array_x_10,34.1813193124385,PC_G,1400cc,G,Diurnal,NMHC,10,1
array_x_11,39.4412706215705,PC_G,1400cc,G,Diurnal,NMHC,11,1
array_x_12,38.5774136801999,PC_G,1400cc,G,Diurnal,NMHC,12,1
array_x_13,51.1526525393637,PC_G,1400cc,G,Diurnal,NMHC,13,1
array_x_14,177.477673374447,PC_G,1400cc,G,Diurnal,NMHC,14,1
array_x_15,218.65855283334,PC_G,1400cc,G,Diurnal,NMHC,15,1
array_x_16,257.900283681503,PC_G,1400cc,G,Diurnal,NMHC,16,1
array_x_17,219.900066488942,PC_G,1400cc,G,Diurnal,NMHC,17,1
array_x_18,307.868272850542,PC_G,1400cc,G,Diurnal,NMHC,18,1
array_x_19,288.987348164275,PC_G,1400cc,G,Diurnal,NMHC,19,1
array_x_20,244.050596951076,PC_G,1400cc,G,Diurnal,NMHC,20,1
array_x_21,218.685586736409,PC_G,1400cc,G,Diurnal,NMHC,21,1
array_x_22,353.049309923734,PC_G,1400cc,G,Diurnal,NMHC,22,1
array_x_23,346.694087489595,PC_G,1400cc,G,Diurnal,NMHC,23,1
array_x_24,382.930459644639,PC_G,1400cc,G,Diurnal,NMHC,24,1
array_x_25,264.239250480106,PC_G,1400cc,G,Diurnal,NMHC,25,1
array_x_26,181.861086973542,PC_G,1400cc,G,Diurnal,NMHC,26,1
array_x_27,129.004743215797,PC_G,1400cc,G,Diurnal,NMHC,27,1
array_x_28,116.739546301882,PC_G,1400cc,G,Diurnal,NMHC,28,1
array_x_29,108.35173161734,PC_G,1400cc,G,Diurnal,NMHC,29,1
array_x_30,405.488329349042,PC_G,1400cc,G,Diurnal,NMHC,30,1
array_x_31,112.793696342782,PC_G,1400cc,G,Diurnal,NMHC,31,1
array_x_32,35.2690680553336,PC_G,1400cc,G,Diurnal,NMHC,32,1
array_x_33,74.4130634877791,PC_G,1400cc,G,Diurnal,NMHC,33,1
array_x_34,30.5323853185541,PC_G,1400cc,G,Diurnal,NMHC,34,1
array_x_35,32.9781942793083,PC_G,1400cc,G,Diurnal,NMHC,35,1
array_x_36,74.6571178287505,PC_G,1400cc,G,Diurnal,NMHC,36,1
array_x_37,319.41224010762,PC_G,1400cc,G,Diurnal,NMHC,37,1
array_x_38,257.79747750941,PC_G,1400cc,G,Diurnal,NMHC,38,1
array_x_39,417.796937300194,PC_G,1400cc,G,Diurnal,NMHC,39,1
array_x_40,526.963301034818,PC_G,1400cc,G,Diurnal,NMHC,40,1
array_x_1,4.10749392999145,PC_G,1400cc,G,Diurnal,NMHC,1,2
array_x_2,4.32001299748511,PC_G,1400cc,G,Diurnal,NMHC,2,2
array_x_3,6.19381947563797,PC_G,1400cc,G,Diurnal,NMHC,3,2
array_x_4,6.79134596900906,PC_G,1400cc,G,Diurnal,NMHC,4,2
array_x_5,7.13871459974615,PC_G,1400cc,G,Diurnal,NMHC,5,2
array_x_6,9.36012177380118,PC_G,1400cc,G,Diurnal,NMHC,6,2
array_x_7,18.504943533766,PC_G,1400cc,G,Diurnal,NMHC,7,2
array_x_8,25.0643026165008,PC_G,1400cc,G,Diurnal,NMHC,8,2
array_x_9,6.8258636428969,PC_G,1400cc,G,Diurnal,NMHC,9,2
array_x_10,16.8035638871674,PC_G,1400cc,G,Diurnal,NMHC,10,2
array_x_11,19.3893601537914,PC_G,1400cc,G,Diurnal,NMHC,11,2
array_x_12,18.9646873911339,PC_G,1400cc,G,Diurnal,NMHC,12,2
array_x_13,25.1466848627602,PC_G,1400cc,G,Diurnal,NMHC,13,2
array_x_14,87.2481660474734,PC_G,1400cc,G,Diurnal,NMHC,14,2
array_x_15,107.492719295757,PC_G,1400cc,G,Diurnal,NMHC,15,2
array_x_16,126.783985537496,PC_G,1400cc,G,Diurnal,NMHC,16,2
array_x_17,108.103048400904,PC_G,1400cc,G,Diurnal,NMHC,17,2
array_x_18,151.348288940778,PC_G,1400cc,G,Diurnal,NMHC,18,2
array_x_19,142.066411277881,PC_G,1400cc,G,Diurnal,NMHC,19,2
array_x_20,119.975468473987,PC_G,1400cc,G,Diurnal,NMHC,20,2
array_x_21,107.506009184107,PC_G,1400cc,G,Diurnal,NMHC,21,2
array_x_22,173.559322868646,PC_G,1400cc,G,Diurnal,NMHC,22,2
array_x_23,170.435090441774,PC_G,1400cc,G,Diurnal,NMHC,23,2
array_x_24,188.248919948492,PC_G,1400cc,G,Diurnal,NMHC,24,2
array_x_25,129.900226680949,PC_G,1400cc,G,Diurnal,NMHC,25,2
array_x_26,89.4030556754308,PC_G,1400cc,G,Diurnal,NMHC,26,2
array_x_27,63.4188348483502,PC_G,1400cc,G,Diurnal,NMHC,27,2
array_x_28,57.3892542447526,PC_G,1400cc,G,Diurnal,NMHC,28,2
array_x_29,53.2657978434041,PC_G,1400cc,G,Diurnal,NMHC,29,2
array_x_30,199.33838672043,PC_G,1400cc,G,Diurnal,NMHC,30,2
array_x_31,55.4494712518597,PC_G,1400cc,G,Diurnal,NMHC,31,2
array_x_32,17.338302038359,PC_G,1400cc,G,Diurnal,NMHC,32,2
array_x_33,36.5815214716337,PC_G,1400cc,G,Diurnal,NMHC,33,2
array_x_34,15.0097450200302,PC_G,1400cc,G,Diurnal,NMHC,34,2
array_x_35,16.2121066595028,PC_G,1400cc,G,Diurnal,NMHC,35,2
array_x_36,36.7014987806711,PC_G,1400cc,G,Diurnal,NMHC,36,2
array_x_37,157.023312468764,PC_G,1400cc,G,Diurnal,NMHC,37,2
array_x_38,126.733445941146,PC_G,1400cc,G,Diurnal,NMHC,38,2
array_x_39,205.389308224622,PC_G,1400cc,G,Diurnal,NMHC,39,2
array_x_40,259.055579867829,PC_G,1400cc,G,Diurnal,NMHC,40,2
array_x_1,2.28285847876587,PC_G,1400cc,G,Diurnal,NMHC,1,3
array_x_2,2.40097209339227,PC_G,1400cc,G,Diurnal,NMHC,2,3
array_x_3,3.44239420602984,PC_G,1400cc,G,Diurnal,NMHC,3,3
array_x_4,3.774486826233,PC_G,1400cc,G,Diurnal,NMHC,4,3
array_x_5,3.96754698346058,PC_G,1400cc,G,Diurnal,NMHC,5,3
array_x_6,5.20215823024905,PC_G,1400cc,G,Diurnal,NMHC,6,3
array_x_7,10.2846572545584,PC_G,1400cc,G,Diurnal,NMHC,7,3
array_x_8,13.9302106631601,PC_G,1400cc,G,Diurnal,NMHC,8,3
array_x_9,3.79367102123004,PC_G,1400cc,G,Diurnal,NMHC,9,3
array_x_10,9.33906633755728,PC_G,1400cc,G,Diurnal,NMHC,10,3
array_x_11,10.7761973552131,PC_G,1400cc,G,Diurnal,NMHC,11,3
array_x_12,10.5401731921937,PC_G,1400cc,G,Diurnal,NMHC,12,3
array_x_13,13.9759969777789,PC_G,1400cc,G,Diurnal,NMHC,13,3
array_x_14,48.4906901904202,PC_G,1400cc,G,Diurnal,NMHC,14,3
array_x_15,59.7421858272664,PC_G,1400cc,G,Diurnal,NMHC,15,3
array_x_16,70.4638646554504,PC_G,1400cc,G,Diurnal,NMHC,16,3
array_x_17,60.0813938690237,PC_G,1400cc,G,Diurnal,NMHC,17,3
array_x_18,84.1161863033799,PC_G,1400cc,G,Diurnal,NMHC,18,3
array_x_19,78.9575144994128,PC_G,1400cc,G,Diurnal,NMHC,19,3
array_x_20,66.6798344971183,PC_G,1400cc,G,Diurnal,NMHC,20,3
array_x_21,59.7495720668617,PC_G,1400cc,G,Diurnal,NMHC,21,3
array_x_22,96.4606104190583,PC_G,1400cc,G,Diurnal,NMHC,22,3
array_x_23,94.7242279418392,PC_G,1400cc,G,Diurnal,NMHC,23,3
array_x_24,104.624778599204,PC_G,1400cc,G,Diurnal,NMHC,24,3
array_x_25,72.1958057459213,PC_G,1400cc,G,Diurnal,NMHC,25,3
array_x_26,49.6883323882743,PC_G,1400cc,G,Diurnal,NMHC,26,3
array_x_27,35.2468505893349,PC_G,1400cc,G,Diurnal,NMHC,27,3
array_x_28,31.8957368837685,PC_G,1400cc,G,Diurnal,NMHC,28,3
array_x_29,29.6040068001505,PC_G,1400cc,G,Diurnal,NMHC,29,3
array_x_30,110.788070298911,PC_G,1400cc,G,Diurnal,NMHC,30,3
array_x_31,30.817646416012,PC_G,1400cc,G,Diurnal,NMHC,31,3
array_x_32,9.63626252169623,PC_G,1400cc,G,Diurnal,NMHC,32,3
array_x_33,20.3312379472825,PC_G,1400cc,G,Diurnal,NMHC,33,3
array_x_34,8.34209965178474,PC_G,1400cc,G,Diurnal,NMHC,34,3
array_x_35,9.0103468872027,PC_G,1400cc,G,Diurnal,NMHC,35,3
array_x_36,20.3979188047259,PC_G,1400cc,G,Diurnal,NMHC,36,3
array_x_37,87.2702446656974,PC_G,1400cc,G,Diurnal,NMHC,37,3
array_x_38,70.435775813931,PC_G,1400cc,G,Diurnal,NMHC,38,3
array_x_39,114.151044826842,PC_G,1400cc,G,Diurnal,NMHC,39,3
array_x_40,143.977626516934,PC_G,1400cc,G,Diurnal,NMHC,40,3
array_x_1,2.12186101582521,PC_G,1400cc,G,Diurnal,NMHC,1,4
array_x_2,2.23164472631149,PC_G,1400cc,G,Diurnal,NMHC,2,4
array_x_3,3.19962106053375,PC_G,1400cc,G,Diurnal,NMHC,3,4
array_x_4,3.50829301326612,PC_G,1400cc,G,Diurnal,NMHC,4,4
array_x_5,3.68773769857651,PC_G,1400cc,G,Diurnal,NMHC,5,4
array_x_6,4.83527859899888,PC_G,1400cc,G,Diurnal,NMHC,6,4
array_x_7,9.55933689825965,PC_G,1400cc,G,Diurnal,NMHC,7,4
array_x_8,12.9477894592798,PC_G,1400cc,G,Diurnal,NMHC,8,4
array_x_9,3.52612425241776,PC_G,1400cc,G,Diurnal,NMHC,9,4
array_x_10,8.68043331209087,PC_G,1400cc,G,Diurnal,NMHC,10,4
array_x_11,10.0162113768992,PC_G,1400cc,G,Diurnal,NMHC,11,4
array_x_12,9.79683270101452,PC_G,1400cc,G,Diurnal,NMHC,12,4
array_x_13,12.9903467167495,PC_G,1400cc,G,Diurnal,NMHC,13,4
array_x_14,45.0709082943828,PC_G,1400cc,G,Diurnal,NMHC,14,4
array_x_15,55.5288977771377,PC_G,1400cc,G,Diurnal,NMHC,15,4
array_x_16,65.4944355191098,PC_G,1400cc,G,Diurnal,NMHC,16,4
array_x_17,55.8441833398452,PC_G,1400cc,G,Diurnal,NMHC,17,4
array_x_18,78.1839339482497,PC_G,1400cc,G,Diurnal,NMHC,18,4
array_x_19,73.3890749168689,PC_G,1400cc,G,Diurnal,NMHC,19,4
array_x_20,61.9772722125116,PC_G,1400cc,G,Diurnal,NMHC,20,4
array_x_21,55.5357631058458,PC_G,1400cc,G,Diurnal,NMHC,21,4
array_x_22,89.6577736704697,PC_G,1400cc,G,Diurnal,NMHC,22,4
array_x_23,88.0438487069893,PC_G,1400cc,G,Diurnal,NMHC,23,4
array_x_24,97.246167935478,PC_G,1400cc,G,Diurnal,NMHC,24,4
array_x_25,67.1042323224415,PC_G,1400cc,G,Diurnal,NMHC,25,4
array_x_26,46.1840873697268,PC_G,1400cc,G,Diurnal,NMHC,26,4
array_x_27,32.7610839181573,PC_G,1400cc,G,Diurnal,NMHC,27,4
array_x_28,29.6463058460261,PC_G,1400cc,G,Diurnal,NMHC,28,4
array_x_29,27.5161988908845,PC_G,1400cc,G,Diurnal,NMHC,29,4
array_x_30,102.974796542293,PC_G,1400cc,G,Diurnal,NMHC,30,4
array_x_31,28.6442471742586,PC_G,1400cc,G,Diurnal,NMHC,31,4
array_x_32,8.95666988261949,PC_G,1400cc,G,Diurnal,NMHC,32,4
array_x_33,18.8973874662291,PC_G,1400cc,G,Diurnal,NMHC,33,4
