array_x,g,veh,size,fuel,type_emi,pollutant,age,hour
array_x_1,307898.486764862,PC_G,1400cc,G,Exhaust,FC,1,1
array_x_2,259837.807664127,PC_G,1400cc,G,Exhaust,FC,2,1
array_x_3,304817.369443547,PC_G,1400cc,G,Exhaust,FC,3,1
array_x_4,507453.670637989,PC_G,1400cc,G,Exhaust,FC,4,1
array_x_5,379265.114850696,PC_G,1400cc,G,Exhaust,FC,5,1
array_x_6,410451.50638992,PC_G,1400cc,G,Exhaust,FC,6,1
array_x_7,522003.498819425,PC_G,1400cc,G,Exhaust,FC,7,1
array_x_8,724587.604212681,PC_G,1400cc,G,Exhaust,FC,8,1
array_x_9,456718.209145636,PC_G,1400cc,G,Exhaust,FC,9,1
array_x_10,411752.671039336,PC_G,1400cc,G,Exhaust,FC,10,1
array_x_11,429038.315143265,PC_G,1400cc,G,Exhaust,FC,11,1
array_x_12,501335.204959628,PC_G,1400cc,G,Exhaust,FC,12,1
array_x_13,658197.988092798,PC_G,1400cc,G,Exhaust,FC,13,1
array_x_14,1278857.68917007,PC_G,1400cc,G,Exhaust,FC,14,1
array_x_15,1988115.50319544,PC_G,1400cc,G,Exhaust,FC,15,1
array_x_16,2185975.15604845,PC_G,1400cc,G,Exhaust,FC,16,1
array_x_17,2247449.31462052,PC_G,1400cc,G,Exhaust,FC,17,1
array_x_18,2726859.65834911,PC_G,1400cc,G,Exhaust,FC,18,1
array_x_19,2317072.34224246,PC_G,1400cc,G,Exhaust,FC,19,1
array_x_20,1775136.99729887,PC_G,1400cc,G,Exhaust,FC,20,1
array_x_21,1490545.49300396,PC_G,1400cc,G,Exhaust,FC,21,1
array_x_22,1905314.70656024,PC_G,1400cc,G,Exhaust,FC,22,1
array_x_23,1527303.12168186,PC_G,1400cc,G,Exhaust,FC,23,1
array_x_24,1222242.75468335,PC_G,1400cc,G,Exhaust,FC,24,1
array_x_25,808797.062070162,PC_G,1400cc,G,Exhaust,FC,25,1
array_x_26,516001.80300219,PC_G,1400cc,G,Exhaust,FC,26,1
array_x_27,293950.935829456,PC_G,1400cc,G,Exhaust,FC,27,1
array_x_28,284381.217200254,PC_G,1400cc,G,Exhaust,FC,28,1
array_x_29,248223.866829644,PC_G,1400cc,G,Exhaust,FC,29,1
array_x_30,106698.39796873,PC_G,1400cc,G,Exhaust,FC,30,1
array_x_31,28339.5380914626,PC_G,1400cc,G,Exhaust,FC,31,1
array_x_32,8471.49325727903,PC_G,1400cc,G,Exhaust,FC,32,1
array_x_33,17122.4685203977,PC_G,1400cc,G,Exhaust,FC,33,1
array_x_34,6750.50482716709,PC_G,1400cc,G,Exhaust,FC,34,1
array_x_35,7034.40185938778,PC_G,1400cc,G,Exhaust,FC,35,1
array_x_36,15443.8740045585,PC_G,1400cc,G,Exhaust,FC,36,1
array_x_37,64489.6948829317,PC_G,1400cc,G,Exhaust,FC,37,1
array_x_38,51184.5358364164,PC_G,1400cc,G,Exhaust,FC,38,1
array_x_39,82275.4340328574,PC_G,1400cc,G,Exhaust,FC,39,1
array_x_40,103903.849374853,PC_G,1400cc,G,Exhaust,FC,40,1
array_x_1,151363.142125201,PC_G,1400cc,G,Exhaust,FC,1,2
array_x_2,127736.473875565,PC_G,1400cc,G,Exhaust,FC,2,2
array_x_3,149848.462388023,PC_G,1400cc,G,Exhaust,FC,3,2
array_x_4,249464.629975241,PC_G,1400cc,G,Exhaust,FC,4,2
array_x_5,186447.033518932,PC_G,1400cc,G,Exhaust,FC,5,2
array_x_6,201778.288519639,PC_G,1400cc,G,Exhaust,FC,6,2
array_x_7,256617.337135526,PC_G,1400cc,G,Exhaust,FC,7,2
array_x_8,356207.845225174,PC_G,1400cc,G,Exhaust,FC,8,2
array_x_9,224523.036564555,PC_G,1400cc,G,Exhaust,FC,9,2
array_x_10,202417.942101009,PC_G,1400cc,G,Exhaust,FC,10,2
array_x_11,210915.578554893,PC_G,1400cc,G,Exhaust,FC,11,2
array_x_12,246456.787358693,PC_G,1400cc,G,Exhaust,FC,12,2
array_x_13,323570.656890871,PC_G,1400cc,G,Exhaust,FC,13,2
array_x_14,628687.461889296,PC_G,1400cc,G,Exhaust,FC,14,2
array_x_15,977359.170008852,PC_G,1400cc,G,Exhaust,FC,15,2
array_x_16,1074627.13345456,PC_G,1400cc,G,Exhaust,FC,16,2
array_x_17,1104847.87893058,PC_G,1400cc,G,Exhaust,FC,17,2
array_x_18,1340526.38698865,PC_G,1400cc,G,Exhaust,FC,18,2
array_x_19,1139074.614943,PC_G,1400cc,G,Exhaust,FC,19,2
array_x_20,872658.766325951,PC_G,1400cc,G,Exhaust,FC,20,2
array_x_21,732753.355406827,PC_G,1400cc,G,Exhaust,FC,21,2
array_x_22,936654.232219584,PC_G,1400cc,G,Exhaust,FC,22,2
array_x_23,750823.435036697,PC_G,1400cc,G,Exhaust,FC,23,2
array_x_24,600855.514856481,PC_G,1400cc,G,Exhaust,FC,24,2
array_x_25,397605.28199693,PC_G,1400cc,G,Exhaust,FC,25,2
array_x_26,253666.898676015,PC_G,1400cc,G,Exhaust,FC,26,2
array_x_27,144506.514940325,PC_G,1400cc,G,Exhaust,FC,27,2
array_x_28,139802.03361536,PC_G,1400cc,G,Exhaust,FC,28,2
array_x_29,122027.051281014,PC_G,1400cc,G,Exhaust,FC,29,2
array_x_30,52453.0177006226,PC_G,1400cc,G,Exhaust,FC,30,2
array_x_31,13931.7395709596,PC_G,1400cc,G,Exhaust,FC,31,2
array_x_32,4164.59285457114,PC_G,1400cc,G,Exhaust,FC,32,2
array_x_33,8417.41920663121,PC_G,1400cc,G,Exhaust,FC,33,2
array_x_34,3318.55356714263,PC_G,1400cc,G,Exhaust,FC,34,2
array_x_35,3458.11757503514,PC_G,1400cc,G,Exhaust,FC,35,2
array_x_36,7592.22080133478,PC_G,1400cc,G,Exhaust,FC,36,2
array_x_37,31703.1855360519,PC_G,1400cc,G,Exhaust,FC,37,2
array_x_38,25162.3587170682,PC_G,1400cc,G,Exhaust,FC,38,2
array_x_39,40446.669114157,PC_G,1400cc,G,Exhaust,FC,39,2
array_x_40,51079.2153788403,PC_G,1400cc,G,Exhaust,FC,40,2
array_x_1,84124.4413899542,PC_G,1400cc,G,Exhaust,FC,1,3
array_x_2,70993.2375810221,PC_G,1400cc,G,Exhaust,FC,2,3
array_x_3,83282.6143441771,PC_G,1400cc,G,Exhaust,FC,3,3
array_x_4,138647.178887579,PC_G,1400cc,G,Exhaust,FC,4,3
array_x_5,103623.328132423,PC_G,1400cc,G,Exhaust,FC,5,3
array_x_6,112144.116249219,PC_G,1400cc,G,Exhaust,FC,6,3
array_x_7,142622.502641014,PC_G,1400cc,G,Exhaust,FC,7,3
array_x_8,197972.806176953,PC_G,1400cc,G,Exhaust,FC,8,3
array_x_9,124785.167412462,PC_G,1400cc,G,Exhaust,FC,9,3
array_x_10,112499.622216262,PC_G,1400cc,G,Exhaust,FC,10,3
array_x_11,117222.429299816,PC_G,1400cc,G,Exhaust,FC,11,3
array_x_12,136975.483411697,PC_G,1400cc,G,Exhaust,FC,12,3
array_x_13,179833.74538175,PC_G,1400cc,G,Exhaust,FC,13,3
array_x_14,349411.22916541,PC_G,1400cc,G,Exhaust,FC,14,3
array_x_15,543195.609313761,PC_G,1400cc,G,Exhaust,FC,15,3
array_x_16,597255.091530643,PC_G,1400cc,G,Exhaust,FC,16,3
array_x_17,614051.144360036,PC_G,1400cc,G,Exhaust,FC,17,3
array_x_18,745036.287504093,PC_G,1400cc,G,Exhaust,FC,18,3
array_x_19,633073.642223257,PC_G,1400cc,G,Exhaust,FC,19,3
array_x_20,485005.333600264,PC_G,1400cc,G,Exhaust,FC,20,3
array_x_21,407248.857513977,PC_G,1400cc,G,Exhaust,FC,21,3
array_x_22,520572.663560543,PC_G,1400cc,G,Exhaust,FC,22,3
array_x_23,417291.826584198,PC_G,1400cc,G,Exhaust,FC,23,3
array_x_24,333942.82011908,PC_G,1400cc,G,Exhaust,FC,24,3
array_x_25,220980.628256382,PC_G,1400cc,G,Exhaust,FC,25,3
array_x_26,140982.711184673,PC_G,1400cc,G,Exhaust,FC,26,3
array_x_27,80313.6726410484,PC_G,1400cc,G,Exhaust,FC,27,3
array_x_28,77699.0211615969,PC_G,1400cc,G,Exhaust,FC,28,3
array_x_29,67820.0609431553,PC_G,1400cc,G,Exhaust,FC,29,3
array_x_30,29152.2807423776,PC_G,1400cc,G,Exhaust,FC,30,3
array_x_31,7742.96696370025,PC_G,1400cc,G,Exhaust,FC,31,3
array_x_32,2314.59285654629,PC_G,1400cc,G,Exhaust,FC,32,3
array_x_33,4678.22402971262,PC_G,1400cc,G,Exhaust,FC,33,3
array_x_34,1844.38206777972,PC_G,1400cc,G,Exhaust,FC,34,3
array_x_35,1921.9487992657,PC_G,1400cc,G,Exhaust,FC,35,3
array_x_36,4219.59616359696,PC_G,1400cc,G,Exhaust,FC,36,3
array_x_37,17619.9617427102,PC_G,1400cc,G,Exhaust,FC,37,3
