fuel,region,estimation_t,consumption_t,Year,type,sppm,kinitial,estimation_consumption,kfinal
D,AC,22718495.26,127592.91384,2018,data,500,1,178.054521809015,0.00561625725558727
D,AL,22718495.26,299635.55328,2018,data,500,1,75.8204258850761,0.0131890580714455
D,AM,22718495.26,932247.68616,2018,data,500,1,24.3695914693865,0.0410347461612649
D,AP,22718495.26,80585.778,2018,data,500,1,281.916931545911,0.00354714416944179
D,BA,22718495.26,2597743.8438,2018,data,500,1,8.74547169622668,0.11434489010255
D,CE,22718495.26,857571.6702,2018,data,500,1,26.4916578397485,0.0377477319860136
D,DF,22718495.26,307772.56944,2018,data,500,1,73.8158546791122,0.0135472251096616
D,ES,22718495.26,949243.41708,2018,data,500,1,23.9332660634984,0.0417828472447871
D,GO,22718495.26,2256202.44612,2018,data,500,1,10.0693514002119,0.0993112624889576
D,MA,22718495.26,1171709.97216,2018,data,500,1,19.3891797456664,0.0515751575423662
D,MG,22718495.26,5709838.37256,2018,data,500,1,3.97883333601511,0.251329954172326
D,MS,22718495.26,1128520.29696,2018,data,500,1,20.131224330833,0.049674077620227
D,MT,22718495.26,2385572.38836,2018,data,500,1,9.5232889896157,0.105005739203169
D,PA,22718495.26,1930860.25104,2018,data,500,1,11.7659966575848,0.0849906751720316
D,PB,22718495.26,362774.50608,2018,data,500,1,62.6242883092509,0.0159682453405587
D,PE,22718495.26,1126972.93968,2018,data,500,1,20.1588649204397,0.0496059675952324
D,PI,22718495.26,434457.59364,2018,data,500,1,52.2916289013583,0.0191235197871991
D,PR,22718495.26,4607251.91724,2018,data,500,1,4.93102953085527,0.202797406452878
D,RJ,22718495.26,1915390.37592,2018,data,500,1,11.8610261101933,0.0843097376828645
D,RN,22718495.26,374325.6342,2018,data,500,1,60.6917966186137,0.0164766913440375
D,RO,22718495.26,723579.79008,2018,data,500,1,31.3973601411507,0.0318498114333299
D,RR,22718495.26,140467.12596,2018,data,500,1,161.735317817134,0.00618294144715287
D,RS,22718495.26,2992616.9826,2018,data,500,1,7.59151451458451,0.131726020951266
D,SC,22718495.26,2066316.52164,2018,data,500,1,10.9946830614163,0.0909530538000957
D,SE,22718495.26,263621.48148,2018,data,500,1,86.1784674467948,0.0116038266823135
D,SP,22718495.26,10174673.21556,2018,data,50,1,2.23284765797263,0.447858588305113
D,TO,22718495.26,811207.1814,2018,data,500,1,28.0057866608034,0.035706906294462
E,AC,17844255.45,6903.51251,2018,data,0,1,2584.80815731874,0.000386875906890248
