fuel,region,estimation_t,consumption_t,Year,type,kinitial,estimation_consumption,kfinal
D,AC,1240876.47,127592.91384,2018,data,1,9.7252773109018,0.10282483141936
D,AL,4810960.25,299635.55328,2018,data,1,16.0560394029887,0.0622818601089045
D,AM,5124131.15,932247.68616,2018,data,1,5.49653404998696,0.181932830926859
D,AP,869299.61,80585.778,2018,data,1,10.7872583919212,0.0927019603747435
D,BA,25784458.37,2597743.8438,2018,data,1,9.92571243371028,0.100748435608888
D,CE,14072428.6,857571.6702,2018,data,1,16.4096239288293,0.0609398487337147
D,DF,7516319.11,307772.56944,2018,data,1,24.4216666991348,0.0409472462432479
D,ES,14572337.7,949243.41708,2018,data,1,15.3515288468647,0.0651400919071482
D,GO,23341904.2,2256202.44612,2018,data,1,10.3456603551428,0.0966588855299989
D,MA,6955170.99,1171709.97216,2018,data,1,5.93591516267326,0.168466019576609
D,MG,69408616.22,5709838.37256,2018,data,1,12.1559686441493,0.0822641147960924
D,MS,10733320.9,1128520.29696,2018,data,1,9.51096841493533,0.105141764368566
D,MT,14250879.82,2385572.38836,2018,data,1,5.97377798700839,0.167398253195009
D,PA,11037145.29,1930860.25104,2018,data,1,5.71618027977694,0.17494199816228
D,PB,5814088.21,362774.50608,2018,data,1,16.0267276574222,0.0623957692035085
D,PE,17981392.64,1126972.93968,2018,data,1,15.955478616111,0.0626743969303592
D,PI,4913511.6,434457.59364,2018,data,1,11.3095309460086,0.0884209968365598
D,PR,56511358.13,4607251.91724,2018,data,1,12.2657408678997,0.0815278922626735
D,RJ,35594126.15,1915390.37592,2018,data,1,18.583222823652,0.0538119791970227
D,RN,6028614.26,374325.6342,2018,data,1,16.1052669365918,0.0620914886997597
D,RO,5376878.03,723579.79008,2018,data,1,7.43094003413988,0.134572476080511
D,RR,990252.91,140467.12596,2018,data,1,7.04971290066822,0.141849748222401
D,RS,47793070.73,2992616.9826,2018,data,1,15.9703266431634,0.0626161269173591
D,SC,32353500.86,2066316.52164,2018,data,1,15.6575725554,0.0638668603617692
D,SE,4222217.39,263621.48148,2018,data,1,16.0162114494464,0.0624367381235195
D,SP,163856295.65,10174673.21556,2018,data,1,16.1043300535114,0.0620951009248573
D,TO,4259326.52,811207.1814,2018,data,1,5.25060258052592,0.190454330653194
E,AC,1053605.46,6903.51251,2018,data,1,152.618751465115,0.00655227480502996
E,AL,1069113.63,62758.282597,2018,data,1,17.0354188444778,0.0587012276674464
E,AM,1071240.05,73239.515089,2018,data,1,14.6265311655633,0.06836891048743
E,AP,1052701.11,751.144365,2018,data,1,1401.46309957341,0.000713540014221131
E,BA,1142090.97,405533.195743,2018,data,1,2.81626999217046,0.355079592077503
E,CE,1112432.43,137296.229742,2018,data,1,8.10242518742449,0.123419837501501
E,DF,1129897.47,135612.169229,2018,data,1,8.33182948421104,0.120021659336046
E,ES,1101537.14,42921.190816,2018,data,1,25.6641793728932,0.0389648149457766
E,GO,1150897.88,1226901.043741,2018,data,1,0.938052735280707,1.06603814731243
E,MA,1069166.1,30175.069789,2018,data,1,35.4321003224242,0.0282229952754768
E,MG,1399956.47,2013046.793741,2018,data,1,0.695441593485441,1.43793527647399
