array_x,g,veh,size,fuel,type_emi,pollutant,age,hour
array_x_1,1862.86210104915,PV_TAXI_G,Mini,G,Exhaust,CO,1,1
array_x_2,1886.15629425528,PV_TAXI_G,Mini,G,Exhaust,CO,2,1
array_x_3,1492.18430728173,PV_TAXI_G,Mini,G,Exhaust,CO,3,1
array_x_4,2245.53009598399,PV_TAXI_G,Mini,G,Exhaust,CO,4,1
array_x_5,398.263503167105,PV_TAXI_G,Mini,G,Exhaust,CO,5,1
array_x_6,0,PV_TAXI_G,Mini,G,Exhaust,CO,6,1
array_x_7,0,PV_TAXI_G,Mini,G,Exhaust,CO,7,1
array_x_8,0,PV_TAXI_G,Mini,G,Exhaust,CO,8,1
array_x_9,0,PV_TAXI_G,Mini,G,Exhaust,CO,9,1
array_x_10,0,PV_TAXI_G,Mini,G,Exhaust,CO,10,1
array_x_11,0,PV_TAXI_G,Mini,G,Exhaust,CO,11,1
array_x_12,0,PV_TAXI_G,Mini,G,Exhaust,CO,12,1
array_x_13,0,PV_TAXI_G,Mini,G,Exhaust,CO,13,1
array_x_14,0,PV_TAXI_G,Mini,G,Exhaust,CO,14,1
array_x_15,0,PV_TAXI_G,Mini,G,Exhaust,CO,15,1
array_x_16,0,PV_TAXI_G,Mini,G,Exhaust,CO,16,1
array_x_17,0,PV_TAXI_G,Mini,G,Exhaust,CO,17,1
array_x_18,0,PV_TAXI_G,Mini,G,Exhaust,CO,18,1
array_x_19,0,PV_TAXI_G,Mini,G,Exhaust,CO,19,1
array_x_20,0,PV_TAXI_G,Mini,G,Exhaust,CO,20,1
array_x_21,0,PV_TAXI_G,Mini,G,Exhaust,CO,21,1
array_x_22,0,PV_TAXI_G,Mini,G,Exhaust,CO,22,1
array_x_23,0,PV_TAXI_G,Mini,G,Exhaust,CO,23,1
array_x_24,0,PV_TAXI_G,Mini,G,Exhaust,CO,24,1
array_x_25,0,PV_TAXI_G,Mini,G,Exhaust,CO,25,1
array_x_26,0,PV_TAXI_G,Mini,G,Exhaust,CO,26,1
array_x_27,0,PV_TAXI_G,Mini,G,Exhaust,CO,27,1
array_x_28,0,PV_TAXI_G,Mini,G,Exhaust,CO,28,1
array_x_29,0,PV_TAXI_G,Mini,G,Exhaust,CO,29,1
array_x_30,0,PV_TAXI_G,Mini,G,Exhaust,CO,30,1
array_x_1,922.923515340487,PV_TAXI_G,Mini,G,Exhaust,CO,1,2
array_x_2,915.150294181285,PV_TAXI_G,Mini,G,Exhaust,CO,2,2
array_x_3,723.795409966974,PV_TAXI_G,Mini,G,Exhaust,CO,3,2
array_x_4,1099.52766062712,PV_TAXI_G,Mini,G,Exhaust,CO,4,2
array_x_5,196.184197875889,PV_TAXI_G,Mini,G,Exhaust,CO,5,2
array_x_6,0,PV_TAXI_G,Mini,G,Exhaust,CO,6,2
array_x_7,0,PV_TAXI_G,Mini,G,Exhaust,CO,7,2
array_x_8,0,PV_TAXI_G,Mini,G,Exhaust,CO,8,2
array_x_9,0,PV_TAXI_G,Mini,G,Exhaust,CO,9,2
array_x_10,0,PV_TAXI_G,Mini,G,Exhaust,CO,10,2
array_x_11,0,PV_TAXI_G,Mini,G,Exhaust,CO,11,2
array_x_12,0,PV_TAXI_G,Mini,G,Exhaust,CO,12,2
array_x_13,0,PV_TAXI_G,Mini,G,Exhaust,CO,13,2
array_x_14,0,PV_TAXI_G,Mini,G,Exhaust,CO,14,2
array_x_15,0,PV_TAXI_G,Mini,G,Exhaust,CO,15,2
array_x_16,0,PV_TAXI_G,Mini,G,Exhaust,CO,16,2
array_x_17,0,PV_TAXI_G,Mini,G,Exhaust,CO,17,2
array_x_18,0,PV_TAXI_G,Mini,G,Exhaust,CO,18,2
array_x_19,0,PV_TAXI_G,Mini,G,Exhaust,CO,19,2
array_x_20,0,PV_TAXI_G,Mini,G,Exhaust,CO,20,2
array_x_21,0,PV_TAXI_G,Mini,G,Exhaust,CO,21,2
array_x_22,0,PV_TAXI_G,Mini,G,Exhaust,CO,22,2
array_x_23,0,PV_TAXI_G,Mini,G,Exhaust,CO,23,2
array_x_24,0,PV_TAXI_G,Mini,G,Exhaust,CO,24,2
array_x_25,0,PV_TAXI_G,Mini,G,Exhaust,CO,25,2
array_x_26,0,PV_TAXI_G,Mini,G,Exhaust,CO,26,2
array_x_27,0,PV_TAXI_G,Mini,G,Exhaust,CO,27,2
array_x_28,0,PV_TAXI_G,Mini,G,Exhaust,CO,28,2
array_x_29,0,PV_TAXI_G,Mini,G,Exhaust,CO,29,2
array_x_30,0,PV_TAXI_G,Mini,G,Exhaust,CO,30,2
array_x_1,504.966876297282,PV_TAXI_G,Mini,G,Exhaust,CO,1,3
array_x_2,508.395610273469,PV_TAXI_G,Mini,G,Exhaust,CO,2,3
array_x_3,404.997560312219,PV_TAXI_G,Mini,G,Exhaust,CO,3,3
array_x_4,609.795287434632,PV_TAXI_G,Mini,G,Exhaust,CO,4,3
array_x_5,108.964206073663,PV_TAXI_G,Mini,G,Exhaust,CO,5,3
array_x_6,0,PV_TAXI_G,Mini,G,Exhaust,CO,6,3
array_x_7,0,PV_TAXI_G,Mini,G,Exhaust,CO,7,3
array_x_8,0,PV_TAXI_G,Mini,G,Exhaust,CO,8,3
array_x_9,0,PV_TAXI_G,Mini,G,Exhaust,CO,9,3
array_x_10,0,PV_TAXI_G,Mini,G,Exhaust,CO,10,3
array_x_11,0,PV_TAXI_G,Mini,G,Exhaust,CO,11,3
array_x_12,0,PV_TAXI_G,Mini,G,Exhaust,CO,12,3
array_x_13,0,PV_TAXI_G,Mini,G,Exhaust,CO,13,3
array_x_14,0,PV_TAXI_G,Mini,G,Exhaust,CO,14,3
array_x_15,0,PV_TAXI_G,Mini,G,Exhaust,CO,15,3
array_x_16,0,PV_TAXI_G,Mini,G,Exhaust,CO,16,3
array_x_17,0,PV_TAXI_G,Mini,G,Exhaust,CO,17,3
array_x_18,0,PV_TAXI_G,Mini,G,Exhaust,CO,18,3
array_x_19,0,PV_TAXI_G,Mini,G,Exhaust,CO,19,3
array_x_20,0,PV_TAXI_G,Mini,G,Exhaust,CO,20,3
array_x_21,0,PV_TAXI_G,Mini,G,Exhaust,CO,21,3
array_x_22,0,PV_TAXI_G,Mini,G,Exhaust,CO,22,3
array_x_23,0,PV_TAXI_G,Mini,G,Exhaust,CO,23,3
array_x_24,0,PV_TAXI_G,Mini,G,Exhaust,CO,24,3
array_x_25,0,PV_TAXI_G,Mini,G,Exhaust,CO,25,3
array_x_26,0,PV_TAXI_G,Mini,G,Exhaust,CO,26,3
array_x_27,0,PV_TAXI_G,Mini,G,Exhaust,CO,27,3
array_x_28,0,PV_TAXI_G,Mini,G,Exhaust,CO,28,3
array_x_29,0,PV_TAXI_G,Mini,G,Exhaust,CO,29,3
array_x_30,0,PV_TAXI_G,Mini,G,Exhaust,CO,30,3
array_x_1,465.951423113308,PV_TAXI_G,Mini,G,Exhaust,CO,1,4
array_x_2,466.884136835386,PV_TAXI_G,Mini,G,Exhaust,CO,2,4
array_x_3,365.40100529659,PV_TAXI_G,Mini,G,Exhaust,CO,3,4
array_x_4,546.881806963363,PV_TAXI_G,Mini,G,Exhaust,CO,4,4
array_x_5,97.5754892374928,PV_TAXI_G,Mini,G,Exhaust,CO,5,4
array_x_6,0,PV_TAXI_G,Mini,G,Exhaust,CO,6,4
array_x_7,0,PV_TAXI_G,Mini,G,Exhaust,CO,7,4
array_x_8,0,PV_TAXI_G,Mini,G,Exhaust,CO,8,4
array_x_9,0,PV_TAXI_G,Mini,G,Exhaust,CO,9,4
array_x_10,0,PV_TAXI_G,Mini,G,Exhaust,CO,10,4
array_x_11,0,PV_TAXI_G,Mini,G,Exhaust,CO,11,4
array_x_12,0,PV_TAXI_G,Mini,G,Exhaust,CO,12,4
array_x_13,0,PV_TAXI_G,Mini,G,Exhaust,CO,13,4
array_x_14,0,PV_TAXI_G,Mini,G,Exhaust,CO,14,4
array_x_15,0,PV_TAXI_G,Mini,G,Exhaust,CO,15,4
array_x_16,0,PV_TAXI_G,Mini,G,Exhaust,CO,16,4
array_x_17,0,PV_TAXI_G,Mini,G,Exhaust,CO,17,4
array_x_18,0,PV_TAXI_G,Mini,G,Exhaust,CO,18,4
