array_x,g,veh,fuel,type_emi,pollutant,age,hour
array_x_1,16600.0374376414,PV_TAXI_G,G,Exhaust,FC,1,1
array_x_2,16622.7233579491,PV_TAXI_G,G,Exhaust,FC,2,1
array_x_3,13157.9369510381,PV_TAXI_G,G,Exhaust,FC,3,1
array_x_4,19846.9561276635,PV_TAXI_G,G,Exhaust,FC,4,1
array_x_5,3542.47166206155,PV_TAXI_G,G,Exhaust,FC,5,1
array_x_6,0,PV_TAXI_G,G,Exhaust,FC,6,1
array_x_7,0,PV_TAXI_G,G,Exhaust,FC,7,1
array_x_8,0,PV_TAXI_G,G,Exhaust,FC,8,1
array_x_9,0,PV_TAXI_G,G,Exhaust,FC,9,1
array_x_10,0,PV_TAXI_G,G,Exhaust,FC,10,1
array_x_11,0,PV_TAXI_G,G,Exhaust,FC,11,1
array_x_12,0,PV_TAXI_G,G,Exhaust,FC,12,1
array_x_13,0,PV_TAXI_G,G,Exhaust,FC,13,1
array_x_14,0,PV_TAXI_G,G,Exhaust,FC,14,1
array_x_15,0,PV_TAXI_G,G,Exhaust,FC,15,1
array_x_16,0,PV_TAXI_G,G,Exhaust,FC,16,1
array_x_17,0,PV_TAXI_G,G,Exhaust,FC,17,1
array_x_18,0,PV_TAXI_G,G,Exhaust,FC,18,1
array_x_19,0,PV_TAXI_G,G,Exhaust,FC,19,1
array_x_20,0,PV_TAXI_G,G,Exhaust,FC,20,1
array_x_21,0,PV_TAXI_G,G,Exhaust,FC,21,1
array_x_22,0,PV_TAXI_G,G,Exhaust,FC,22,1
array_x_23,0,PV_TAXI_G,G,Exhaust,FC,23,1
array_x_24,0,PV_TAXI_G,G,Exhaust,FC,24,1
array_x_25,0,PV_TAXI_G,G,Exhaust,FC,25,1
array_x_26,0,PV_TAXI_G,G,Exhaust,FC,26,1
array_x_27,0,PV_TAXI_G,G,Exhaust,FC,27,1
array_x_28,0,PV_TAXI_G,G,Exhaust,FC,28,1
array_x_29,0,PV_TAXI_G,G,Exhaust,FC,29,1
array_x_30,0,PV_TAXI_G,G,Exhaust,FC,30,1
array_x_1,8160.59166889064,PV_TAXI_G,G,Exhaust,FC,1,2
array_x_2,8171.74408544152,PV_TAXI_G,G,Exhaust,FC,2,2
array_x_3,6468.45231920672,PV_TAXI_G,G,Exhaust,FC,3,2
array_x_4,9756.77949141192,PV_TAXI_G,G,Exhaust,FC,4,2
array_x_5,1741.48189974252,PV_TAXI_G,G,Exhaust,FC,5,2
array_x_6,0,PV_TAXI_G,G,Exhaust,FC,6,2
array_x_7,0,PV_TAXI_G,G,Exhaust,FC,7,2
array_x_8,0,PV_TAXI_G,G,Exhaust,FC,8,2
array_x_9,0,PV_TAXI_G,G,Exhaust,FC,9,2
array_x_10,0,PV_TAXI_G,G,Exhaust,FC,10,2
array_x_11,0,PV_TAXI_G,G,Exhaust,FC,11,2
array_x_12,0,PV_TAXI_G,G,Exhaust,FC,12,2
array_x_13,0,PV_TAXI_G,G,Exhaust,FC,13,2
array_x_14,0,PV_TAXI_G,G,Exhaust,FC,14,2
array_x_15,0,PV_TAXI_G,G,Exhaust,FC,15,2
array_x_16,0,PV_TAXI_G,G,Exhaust,FC,16,2
array_x_17,0,PV_TAXI_G,G,Exhaust,FC,17,2
array_x_18,0,PV_TAXI_G,G,Exhaust,FC,18,2
array_x_19,0,PV_TAXI_G,G,Exhaust,FC,19,2
array_x_20,0,PV_TAXI_G,G,Exhaust,FC,20,2
array_x_21,0,PV_TAXI_G,G,Exhaust,FC,21,2
array_x_22,0,PV_TAXI_G,G,Exhaust,FC,22,2
array_x_23,0,PV_TAXI_G,G,Exhaust,FC,23,2
array_x_24,0,PV_TAXI_G,G,Exhaust,FC,24,2
array_x_25,0,PV_TAXI_G,G,Exhaust,FC,25,2
array_x_26,0,PV_TAXI_G,G,Exhaust,FC,26,2
array_x_27,0,PV_TAXI_G,G,Exhaust,FC,27,2
array_x_28,0,PV_TAXI_G,G,Exhaust,FC,28,2
array_x_29,0,PV_TAXI_G,G,Exhaust,FC,29,2
array_x_30,0,PV_TAXI_G,G,Exhaust,FC,30,2
array_x_1,4535.4847020095,PV_TAXI_G,G,Exhaust,FC,1,3
array_x_2,4541.68297986842,PV_TAXI_G,G,Exhaust,FC,2,3
array_x_3,3595.0293471096,PV_TAXI_G,G,Exhaust,FC,3,3
array_x_4,5422.61222220845,PV_TAXI_G,G,Exhaust,FC,4,3
array_x_5,967.878903342113,PV_TAXI_G,G,Exhaust,FC,5,3
array_x_6,0,PV_TAXI_G,G,Exhaust,FC,6,3
array_x_7,0,PV_TAXI_G,G,Exhaust,FC,7,3
array_x_8,0,PV_TAXI_G,G,Exhaust,FC,8,3
array_x_9,0,PV_TAXI_G,G,Exhaust,FC,9,3
array_x_10,0,PV_TAXI_G,G,Exhaust,FC,10,3
array_x_11,0,PV_TAXI_G,G,Exhaust,FC,11,3
array_x_12,0,PV_TAXI_G,G,Exhaust,FC,12,3
array_x_13,0,PV_TAXI_G,G,Exhaust,FC,13,3
array_x_14,0,PV_TAXI_G,G,Exhaust,FC,14,3
array_x_15,0,PV_TAXI_G,G,Exhaust,FC,15,3
array_x_16,0,PV_TAXI_G,G,Exhaust,FC,16,3
array_x_17,0,PV_TAXI_G,G,Exhaust,FC,17,3
array_x_18,0,PV_TAXI_G,G,Exhaust,FC,18,3
array_x_19,0,PV_TAXI_G,G,Exhaust,FC,19,3
array_x_20,0,PV_TAXI_G,G,Exhaust,FC,20,3
array_x_21,0,PV_TAXI_G,G,Exhaust,FC,21,3
array_x_22,0,PV_TAXI_G,G,Exhaust,FC,22,3
array_x_23,0,PV_TAXI_G,G,Exhaust,FC,23,3
array_x_24,0,PV_TAXI_G,G,Exhaust,FC,24,3
array_x_25,0,PV_TAXI_G,G,Exhaust,FC,25,3
array_x_26,0,PV_TAXI_G,G,Exhaust,FC,26,3
array_x_27,0,PV_TAXI_G,G,Exhaust,FC,27,3
array_x_28,0,PV_TAXI_G,G,Exhaust,FC,28,3
