emissions,rows,age,month,veh,size,fuel,pollutant,type_emi,subtype_emi,baseyear
51166474.6525756,1,1,1,PC_MINI_G,<1400cc,G,FC,Running,Exhaust,2019
24825683.1740602,1,2,1,PC_MINI_G,<1400cc,G,FC,Running,Exhaust,2019
16487417.0925059,1,3,1,PC_MINI_G,<1400cc,G,FC,Running,Exhaust,2019
11882788.4703132,1,4,1,PC_MINI_G,<1400cc,G,FC,Running,Exhaust,2019
29139994.6556603,1,5,1,PC_MINI_G,<1400cc,G,FC,Running,Exhaust,2019
45824957.1314531,1,6,1,PC_MINI_G,<1400cc,G,FC,Running,Exhaust,2019
60717722.7730012,1,7,1,PC_MINI_G,<1400cc,G,FC,Running,Exhaust,2019
50073989.8138171,1,8,1,PC_MINI_G,<1400cc,G,FC,Running,Exhaust,2019
44098866.4838646,1,9,1,PC_MINI_G,<1400cc,G,FC,Running,Exhaust,2019
29697025.4470601,1,10,1,PC_MINI_G,<1400cc,G,FC,Running,Exhaust,2019
39231257.1523961,1,11,1,PC_MINI_G,<1400cc,G,FC,Running,Exhaust,2019
31062158.9299414,1,12,1,PC_MINI_G,<1400cc,G,FC,Running,Exhaust,2019
33495041.9759475,1,13,1,PC_MINI_G,<1400cc,G,FC,Running,Exhaust,2019
25437388.9588182,1,14,1,PC_MINI_G,<1400cc,G,FC,Running,Exhaust,2019
19142466.8361822,1,15,1,PC_MINI_G,<1400cc,G,FC,Running,Exhaust,2019
14283417.5275498,1,16,1,PC_MINI_G,<1400cc,G,FC,Running,Exhaust,2019
10574076.148553,1,17,1,PC_MINI_G,<1400cc,G,FC,Running,Exhaust,2019
7771136.64168643,1,18,1,PC_MINI_G,<1400cc,G,FC,Running,Exhaust,2019
5693321.19686541,1,19,1,PC_MINI_G,<1400cc,G,FC,Running,Exhaust,2019
4130346.95097169,1,20,1,PC_MINI_G,<1400cc,G,FC,Running,Exhaust,2019
4335391.35512668,1,21,1,PC_MINI_G,<1400cc,G,FC,Running,Exhaust,2019
3111001.3587927,1,22,1,PC_MINI_G,<1400cc,G,FC,Running,Exhaust,2019
2221783.0780619,1,23,1,PC_MINI_G,<1400cc,G,FC,Running,Exhaust,2019
1579898.74997108,1,24,1,PC_MINI_G,<1400cc,G,FC,Running,Exhaust,2019
1119128.92175859,1,25,1,PC_MINI_G,<1400cc,G,FC,Running,Exhaust,2019
790053.963362281,1,26,1,PC_MINI_G,<1400cc,G,FC,Running,Exhaust,2019
556125.154699059,1,27,1,PC_MINI_G,<1400cc,G,FC,Running,Exhaust,2019
390532.986459991,1,28,1,PC_MINI_G,<1400cc,G,FC,Running,Exhaust,2019
