emissions,rows,age,veh,size,fuel,pollutant,type_emi,subtype_emi,baseyear,month,provincia
29498161.1462467,1,1,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,1,IMBABURA
28073607.8982729,2,1,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,2,IMBABURA
32232839.4699156,3,1,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,3,IMBABURA
30361241.3811168,4,1,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,4,IMBABURA
31148673.9583302,5,1,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,5,IMBABURA
29180434.5705524,6,1,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,6,IMBABURA
30457572.6925203,7,1,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,7,IMBABURA
31749269.5413114,8,1,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,8,IMBABURA
28557092.3130632,9,1,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,9,IMBABURA
23752199.378493,10,1,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,10,IMBABURA
28711006.4889286,11,1,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,11,IMBABURA
32279658.2830478,12,1,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,12,IMBABURA
14312340.4105236,13,2,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,1,IMBABURA
13621155.2577667,14,2,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,2,IMBABURA
15639190.8161331,15,2,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,3,IMBABURA
14731102.0432171,16,2,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,4,IMBABURA
15113159.8616533,17,2,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,5,IMBABURA
14158181.278832,18,2,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,6,IMBABURA
14777841.4489096,19,2,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,7,IMBABURA
15404565.4306332,20,2,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,8,IMBABURA
13855739.1524493,21,2,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,9,IMBABURA
11524432.364384,22,2,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,10,IMBABURA
13930417.4372437,23,2,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,11,IMBABURA
15661907.0386068,24,2,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,12,IMBABURA
9505217.81268819,25,3,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,1,IMBABURA
9046182.79553473,26,3,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,2,IMBABURA
10386415.5587185,27,3,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,3,IMBABURA
9783328.89837905,28,3,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,4,IMBABURA
10037063.9743423,29,3,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,5,IMBABURA
9402836.50519311,30,3,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,6,IMBABURA
9814369.81962604,31,3,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,7,IMBABURA
10230594.405113,32,3,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,8,IMBABURA
9201976.39395049,33,3,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,9,IMBABURA
7653691.61500086,34,3,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,10,IMBABURA
9251572.29109157,35,3,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,11,IMBABURA
10401502.0251035,36,3,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,12,IMBABURA
6854541.07759089,37,4,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,1,IMBABURA
6523515.06186605,38,4,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,2,IMBABURA
7490003.2276094,39,4,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,3,IMBABURA
7055096.59336842,40,4,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,4,IMBABURA
7238073.72606435,41,4,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,5,IMBABURA
6780710.3783232,42,4,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,6,IMBABURA
7077481.2744948,43,4,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,7,IMBABURA
7377635.20835993,44,4,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,8,IMBABURA
6635863.21011585,45,4,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,9,IMBABURA
5519341.5452517,46,4,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,10,IMBABURA
6671628.52564389,47,4,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,11,IMBABURA
7500882.59992781,48,4,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,12,IMBABURA
16809294.4570222,49,5,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,1,IMBABURA
15997524.0250898,50,5,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,2,IMBABURA
18367629.3294871,51,5,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,3,IMBABURA
17301113.921159,52,5,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,4,IMBABURA
17749826.1642649,53,5,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,5,IMBABURA
16628240.4739896,54,5,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,6,IMBABURA
17356007.5591313,55,5,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,7,IMBABURA
18092070.8199187,56,5,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,8,IMBABURA
16273033.8052859,57,5,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,9,IMBABURA
13535003.465997,58,5,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,10,IMBABURA
16360740.5843764,59,5,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,11,IMBABURA
18394308.6608585,60,5,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,12,IMBABURA
26433951.2414217,61,6,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,1,IMBABURA
25157377.7319391,62,6,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,2,IMBABURA
28884556.6574829,63,6,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,3,IMBABURA
27207376.4299574,64,6,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,4,IMBABURA
27913012.0880165,65,6,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,5,IMBABURA
26149229.4661095,66,6,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,6,IMBABURA
27293701.037652,67,6,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,7,IMBABURA
28451219.0046317,68,6,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,8,IMBABURA
25590638.7539801,69,6,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,9,IMBABURA
21284868.4748438,70,6,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,10,IMBABURA
25728564.6334957,71,6,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,11,IMBABURA
28926512.0260695,72,6,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,12,IMBABURA
35024786.1371164,73,7,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,1,IMBABURA
33333335.8597975,74,7,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,2,IMBABURA
38271819.8408596,75,7,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,3,IMBABURA
36049568.6818868,76,7,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,4,IMBABURA
36984530.6097698,77,7,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,5,IMBABURA
34647531.9310458,78,7,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,6,IMBABURA
36163948.1363717,79,7,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,7,IMBABURA
37697650.7173088,80,7,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,8,IMBABURA
33907403.4481026,81,7,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,9,IMBABURA
28202290.2849223,82,7,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,10,IMBABURA
34090154.1987825,83,7,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,11,IMBABURA
38327410.3879795,84,7,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,12,IMBABURA
28884989.4917494,85,8,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,1,IMBABURA
27490048.1123816,86,8,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,2,IMBABURA
31562822.6709387,87,8,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,3,IMBABURA
29730129.071507,88,8,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,4,IMBABURA
30501193.4644874,89,8,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,5,IMBABURA
28573867.4270662,90,8,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,6,IMBABURA
29824457.9655631,91,8,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,7,IMBABURA
31089304.6018967,92,8,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,8,IMBABURA
27963482.445166,93,8,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,9,IMBABURA
23258467.7415053,94,8,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,10,IMBABURA
28114197.2416057,95,8,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,11,IMBABURA
31608668.2719114,96,8,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,12,IMBABURA
25438262.4536342,97,9,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,1,IMBABURA
24209773.6938953,98,9,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,2,IMBABURA
27796560.8092118,99,9,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,3,IMBABURA
26182555.0020518,100,9,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,4,IMBABURA
26861611.4511771,101,9,PC_MINI_G,<1400cc,G,FC,Exhaust,Exhaust,2019,5,IMBABURA
